instance_name,graph_type,size_n,algorithm,run_id,time_seconds,cost,path_found,ops_count,memory_peak_kb
trap_n14,pathological,14,Backtracking,1,0.000499,1400.0,1,642,55.44
trap_n14,pathological,14,Backtracking,2,0.000642,1400.0,1,642,55.73
trap_n14,pathological,14,NearestNeighbor,1,0.000026,-1,0,9,55.71
trap_n14,pathological,14,NearestNeighbor,2,0.000023,-1,0,9,56.02
trap_n14,pathological,14,DP,1,0.107524,1400.0,1,745472,56.59
trap_n14,pathological,14,DP,2,0.103663,1400.0,1,745472,56.93
trap_n10,pathological,10,Backtracking,1,0.000139,1000.0,1,208,56.02
trap_n10,pathological,10,Backtracking,2,0.000124,1000.0,1,208,56.26
trap_n10,pathological,10,NearestNeighbor,1,0.000021,-1,0,7,56.23
trap_n10,pathological,10,NearestNeighbor,2,0.000020,-1,0,7,56.62
trap_n10,pathological,10,DP,1,0.003712,1000.0,1,23040,57.20
trap_n10,pathological,10,DP,2,0.003647,1000.0,1,23040,57.47
trap_n18,pathological,18,Backtracking,1,0.001073,1800.0,1,1468,65.47
trap_n18,pathological,18,Backtracking,2,0.001079,1800.0,1,1468,65.74
trap_n18,pathological,18,NearestNeighbor,1,0.000027,-1,0,11,65.46
trap_n18,pathological,18,NearestNeighbor,2,0.000026,-1,0,11,65.73
trap_n18,pathological,18,DP,1,2.645178,1800.0,1,20054016,66.52
trap_n18,pathological,18,DP,2,2.708390,1800.0,1,20054016,67.05
bipartite_no_hc_5_6,pathological,11,Backtracking,1,0.017815,-1,0,39390,59.92
bipartite_no_hc_5_6,pathological,11,Backtracking,2,0.017776,-1,0,39390,60.20
bipartite_no_hc_5_6,pathological,11,NearestNeighbor,1,0.000069,-1,0,9,60.47
bipartite_no_hc_5_6,pathological,11,NearestNeighbor,2,0.000023,-1,0,9,60.74
bipartite_no_hc_5_6,pathological,11,DP,1,0.008653,-1,0,56320,60.98
bipartite_no_hc_5_6,pathological,11,DP,2,0.008614,-1,0,56320,61.25
cycle_n15,pathological,15,Backtracking,1,0.000050,15.0,1,31,63.08
cycle_n15,pathological,15,Backtracking,2,0.000037,15.0,1,31,63.36
cycle_n15,pathological,15,NearestNeighbor,1,0.000026,15.0,1,14,63.63
cycle_n15,pathological,15,NearestNeighbor,2,0.000025,15.0,1,14,63.87
cycle_n15,pathological,15,DP,1,0.233484,15.0,1,1720320,64.14
cycle_n15,pathological,15,DP,2,0.232375,15.0,1,1720320,64.41
trap_n5,pathological,5,Backtracking,1,0.000044,500.0,1,22,60.79
trap_n5,pathological,5,Backtracking,2,0.000027,500.0,1,22,61.07
trap_n5,pathological,5,NearestNeighbor,1,0.000019,-1,0,3,61.13
trap_n5,pathological,5,NearestNeighbor,2,0.000018,-1,0,3,61.90
trap_n5,pathological,5,DP,1,0.000066,500.0,1,160,62.35
trap_n5,pathological,5,DP,2,0.000062,500.0,1,160,62.62
trap_n8,pathological,8,Backtracking,1,0.000071,800.0,1,98,63.59
trap_n8,pathological,8,Backtracking,2,0.000062,800.0,1,98,63.87
trap_n8,pathological,8,NearestNeighbor,1,0.000021,-1,0,6,63.77
trap_n8,pathological,8,NearestNeighbor,2,0.000021,-1,0,6,64.01
trap_n8,pathological,8,DP,1,0.000643,800.0,1,3584,64.56
trap_n8,pathological,8,DP,2,0.000616,800.0,1,3584,64.83
trap_n16,pathological,16,Backtracking,1,0.000662,1600.0,1,998,68.95
trap_n16,pathological,16,Backtracking,2,0.000637,1600.0,1,998,69.22
trap_n16,pathological,16,NearestNeighbor,1,0.000027,-1,0,10,68.94
trap_n16,pathological,16,NearestNeighbor,2,0.000025,-1,0,10,69.18
trap_n16,pathological,16,DP,1,0.525706,1600.0,1,3932160,69.97
trap_n16,pathological,16,DP,2,0.526912,1600.0,1,3932160,70.24
trap_n12,pathological,12,Backtracking,1,0.000249,1200.0,1,384,69.08
trap_n12,pathological,12,Backtracking,2,0.000286,1200.0,1,384,69.35
trap_n12,pathological,12,NearestNeighbor,1,0.000026,-1,0,8,69.32
trap_n12,pathological,12,NearestNeighbor,2,0.000025,-1,0,8,69.56
trap_n12,pathological,12,DP,1,0.019526,1200.0,1,135168,70.11
trap_n12,pathological,12,DP,2,0.019513,1200.0,1,135168,70.38
trap_n20,pathological,20,Backtracking,1,0.001576,2000.0,1,2068,78.75
trap_n20,pathological,20,Backtracking,2,0.001543,2000.0,1,2068,79.02
trap_n20,pathological,20,NearestNeighbor,1,0.000033,-1,0,12,78.74
trap_n20,pathological,20,NearestNeighbor,2,0.000031,-1,0,12,79.01
trap_n20,pathological,20,DP,1,12.916881,2000.0,1,99614720,79.83
trap_n20,pathological,20,DP,2,13.191723,2000.0,1,99614720,80.11
geo_n8,geometric,8,Backtracking,1,0.001220,2.4517,1,3497,74.16
geo_n8,geometric,8,Backtracking,2,0.001171,2.4517,1,3497,74.44
geo_n8,geometric,8,NearestNeighbor,1,0.000028,-1,0,15,74.40
geo_n8,geometric,8,NearestNeighbor,2,0.000026,-1,0,15,74.68
geo_n8,geometric,8,DP,1,0.000688,2.4517,1,3584,75.22
geo_n8,geometric,8,DP,2,0.000707,2.4517,1,3584,76.49
geo_n10,geometric,10,Backtracking,1,0.001329,3.2026,1,3048,78.53
geo_n10,geometric,10,Backtracking,2,0.001302,3.2026,1,3048,78.80
geo_n10,geometric,10,NearestNeighbor,1,0.000029,3.3549,1,13,79.08
geo_n10,geometric,10,NearestNeighbor,2,0.000028,3.3549,1,13,79.35
geo_n10,geometric,10,DP,1,0.003731,3.2026,1,23040,79.59
geo_n10,geometric,10,DP,2,0.003674,3.2026,1,23040,79.86
geo_n5,geometric,5,Backtracking,1,0.000042,-1,0,12,77.59
geo_n5,geometric,5,Backtracking,2,0.000029,-1,0,12,77.86
geo_n5,geometric,5,NearestNeighbor,1,0.000024,-1,0,4,78.10
geo_n5,geometric,5,NearestNeighbor,2,0.000023,-1,0,4,78.37
geo_n5,geometric,5,DP,1,0.000066,-1,0,160,78.61
geo_n5,geometric,5,DP,2,0.000064,-1,0,160,78.85
geo_n14,geometric,14,Backtracking,1,218.432474,3.0509,1,581018134,82.95
geo_n14,geometric,14,Backtracking,2,218.375375,3.0509,1,581018134,83.23
geo_n14,geometric,14,NearestNeighbor,1,0.000043,-1,0,31,83.20
geo_n14,geometric,14,NearestNeighbor,2,0.000038,-1,0,31,83.47
geo_n14,geometric,14,DP,1,0.117783,3.0509,1,745472,84.05
geo_n14,geometric,14,DP,2,0.117496,3.0509,1,745472,84.32
geo_n12,geometric,12,Backtracking,1,0.005015,-1,0,10256,83.71
geo_n12,geometric,12,Backtracking,2,0.004937,-1,0,10256,83.98
geo_n12,geometric,12,NearestNeighbor,1,0.000030,-1,0,7,84.25
geo_n12,geometric,12,NearestNeighbor,2,0.000029,-1,0,7,84.53
geo_n12,geometric,12,DP,1,0.019601,-1,0,135168,84.77
geo_n12,geometric,12,DP,2,0.019504,-1,0,135168,85.04
gnp_sparse_n5,gnp_sparse,5,Backtracking,1,0.000046,-1,0,0,82.50
gnp_sparse_n5,gnp_sparse,5,Backtracking,2,0.000026,-1,0,0,82.77
gnp_sparse_n5,gnp_sparse,5,NearestNeighbor,1,0.000024,-1,0,0,83.01
gnp_sparse_n5,gnp_sparse,5,NearestNeighbor,2,0.000024,-1,0,0,83.25
gnp_sparse_n5,gnp_sparse,5,DP,1,0.000087,-1,0,160,83.49
gnp_sparse_n5,gnp_sparse,5,DP,2,0.000066,-1,0,160,83.77
gnp_sparse_n18,gnp_sparse,18,Backtracking,1,0.010064,-1,0,15817,93.50
gnp_sparse_n18,gnp_sparse,18,Backtracking,2,0.010029,-1,0,15817,93.78
gnp_sparse_n18,gnp_sparse,18,NearestNeighbor,1,0.000037,-1,0,16,94.05
gnp_sparse_n18,gnp_sparse,18,NearestNeighbor,2,0.000036,-1,0,16,94.29
gnp_sparse_n18,gnp_sparse,18,DP,1,2.698861,-1,0,20054016,94.56
gnp_sparse_n18,gnp_sparse,18,DP,2,2.692123,-1,0,20054016,94.83
gnp_sparse_n10,gnp_sparse,10,Backtracking,1,0.000061,-1,0,2,87.96
gnp_sparse_n10,gnp_sparse,10,Backtracking,2,0.000030,-1,0,2,88.23
gnp_sparse_n10,gnp_sparse,10,NearestNeighbor,1,0.000029,-1,0,2,88.47
gnp_sparse_n10,gnp_sparse,10,NearestNeighbor,2,0.000028,-1,0,2,88.71
gnp_sparse_n10,gnp_sparse,10,DP,1,0.003649,-1,0,23040,88.95
gnp_sparse_n10,gnp_sparse,10,DP,2,0.003599,-1,0,23040,89.22
gnp_sparse_n12,gnp_sparse,12,Backtracking,1,0.000095,-1,0,31,90.14
gnp_sparse_n12,gnp_sparse,12,Backtracking,2,0.000050,-1,0,31,90.42
gnp_sparse_n12,gnp_sparse,12,NearestNeighbor,1,0.000032,-1,0,7,90.66
gnp_sparse_n12,gnp_sparse,12,NearestNeighbor,2,0.000031,-1,0,7,90.93
gnp_sparse_n12,gnp_sparse,12,DP,1,0.019406,-1,0,135168,91.17
gnp_sparse_n12,gnp_sparse,12,DP,2,0.019268,-1,0,135168,91.44
gnp_sparse_n8,gnp_sparse,8,Backtracking,1,0.000056,-1,0,10,89.41
gnp_sparse_n8,gnp_sparse,8,Backtracking,2,0.000034,-1,0,10,89.68
gnp_sparse_n8,gnp_sparse,8,NearestNeighbor,1,0.000030,-1,0,5,89.95
gnp_sparse_n8,gnp_sparse,8,NearestNeighbor,2,0.000030,-1,0,5,90.19
gnp_sparse_n8,gnp_sparse,8,DP,1,0.000672,-1,0,3584,90.43
gnp_sparse_n8,gnp_sparse,8,DP,2,0.000627,-1,0,3584,90.71
gnp_sparse_n14,gnp_sparse,14,Backtracking,1,0.000459,-1,0,699,93.97
gnp_sparse_n14,gnp_sparse,14,Backtracking,2,0.000437,-1,0,699,94.24
gnp_sparse_n14,gnp_sparse,14,NearestNeighbor,1,0.000039,-1,0,17,94.51
gnp_sparse_n14,gnp_sparse,14,NearestNeighbor,2,0.000038,-1,0,17,94.79
gnp_sparse_n14,gnp_sparse,14,DP,1,0.103151,-1,0,745472,95.03
gnp_sparse_n14,gnp_sparse,14,DP,2,0.102298,-1,0,745472,95.30
gnp_sparse_n16,gnp_sparse,16,Backtracking,1,0.007425,-1,0,12880,96.22
gnp_sparse_n16,gnp_sparse,16,Backtracking,2,0.007370,-1,0,12880,96.49
gnp_sparse_n16,gnp_sparse,16,NearestNeighbor,1,0.000040,-1,0,15,96.76
gnp_sparse_n16,gnp_sparse,16,NearestNeighbor,2,0.000038,-1,0,15,99.04
gnp_sparse_n16,gnp_sparse,16,DP,1,0.523126,-1,0,3932160,99.28
gnp_sparse_n16,gnp_sparse,16,DP,2,0.528659,-1,0,3932160,99.55
gnp_sparse_n20,gnp_sparse,20,Backtracking,1,0.062588,-1,0,89105,106.33
gnp_sparse_n20,gnp_sparse,20,Backtracking,2,0.062436,-1,0,89105,106.60
gnp_sparse_n20,gnp_sparse,20,NearestNeighbor,1,0.000046,-1,0,18,106.88
gnp_sparse_n20,gnp_sparse,20,NearestNeighbor,2,0.000044,-1,0,18,107.12
gnp_sparse_n20,gnp_sparse,20,DP,1,13.109140,-1,0,99614720,107.36
gnp_sparse_n20,gnp_sparse,20,DP,2,13.083199,-1,0,99614720,107.63
gnp_dense_n10,gnp_dense,10,Backtracking,1,0.077674,311.0,1,244188,99.98
gnp_dense_n10,gnp_dense,10,Backtracking,2,0.077550,311.0,1,244188,100.26
gnp_dense_n10,gnp_dense,10,NearestNeighbor,1,0.000045,-1,0,18,100.23
gnp_dense_n10,gnp_dense,10,NearestNeighbor,2,0.000038,-1,0,18,100.50
gnp_dense_n10,gnp_dense,10,DP,1,0.004091,311.0,1,23040,101.04
gnp_dense_n10,gnp_dense,10,DP,2,0.004051,311.0,1,23040,101.32
gnp_dense_n8,gnp_dense,8,Backtracking,1,0.002210,323.0,1,7344,99.89
gnp_dense_n8,gnp_dense,8,Backtracking,2,0.002147,323.0,1,7344,100.17
gnp_dense_n8,gnp_dense,8,NearestNeighbor,1,0.000037,333.0,1,13,100.44
gnp_dense_n8,gnp_dense,8,NearestNeighbor,2,0.000036,333.0,1,13,100.68
gnp_dense_n8,gnp_dense,8,DP,1,0.000707,323.0,1,3584,100.92
gnp_dense_n8,gnp_dense,8,DP,2,0.000696,323.0,1,3584,101.16
gnp_dense_n12,gnp_dense,12,Backtracking,1,2.435230,231.0,1,7213891,103.82
gnp_dense_n12,gnp_dense,12,Backtracking,2,2.437456,231.0,1,7213891,104.09
gnp_dense_n12,gnp_dense,12,NearestNeighbor,1,0.000044,336.0,1,26,104.36
gnp_dense_n12,gnp_dense,12,NearestNeighbor,2,0.000041,336.0,1,26,104.61
gnp_dense_n12,gnp_dense,12,DP,1,0.022164,231.0,1,135168,104.88
gnp_dense_n12,gnp_dense,12,DP,2,0.021959,231.0,1,135168,105.15
gnp_dense_n5,gnp_dense,5,Backtracking,1,0.000073,263.0,1,43,102.45
gnp_dense_n5,gnp_dense,5,Backtracking,2,0.000049,263.0,1,43,102.73
gnp_dense_n5,gnp_dense,5,NearestNeighbor,1,0.000037,263.0,1,7,103.00
gnp_dense_n5,gnp_dense,5,NearestNeighbor,2,0.000035,263.0,1,7,103.24
gnp_dense_n5,gnp_dense,5,DP,1,0.000081,263.0,1,160,103.52
gnp_dense_n5,gnp_dense,5,DP,2,0.000079,263.0,1,160,103.79
gnp_dense_n14,gnp_dense,14,Backtracking,1,934.381377,188.0,1,2922770881,107.72
gnp_dense_n14,gnp_dense,14,Backtracking,2,932.876103,188.0,1,2922770881,107.99
gnp_dense_n14,gnp_dense,14,NearestNeighbor,1,0.000057,261.0,1,24,108.27
gnp_dense_n14,gnp_dense,14,NearestNeighbor,2,0.000050,261.0,1,24,108.54
gnp_dense_n14,gnp_dense,14,DP,1,0.118718,188.0,1,745472,108.78
gnp_dense_n14,gnp_dense,14,DP,2,0.118761,188.0,1,745472,109.06
